Topic title: 鄉村馬來人 和 東馬土族 支持 囯陣 的原因
username,date,text
q(o_o)p,20171221,"大選要到了，各方勢力都在鼓足幹勁盡可能爭取多一張中間選票，於是網絡軍團，熱血支持者全部出動，個個擺出一副要把敵對勢力支持者淩遲的架勢城市選民是很多元也很靈活的，無論 馬來人 還是 華人 或 印度人，在 1990年以後十幾年一邊倒的情況已經很罕見，哪個陣營比較順眼或者對自己比較有利就投誰最令人納悶的是 鄉村馬來人 以及 東馬土族，很多這些偏遠地區的選民在 1990年以後依然沿襲以前那種幾十年如一日一邊倒的慣性，相當多選區從獨立以來 囯陣 就從未輸過一個大多數人都聽過/認同的解釋是 鄉村馬來人 最關注的議題是 宗教 和 種族權力，其次才是經濟。所以每次 囯陣 祭出 ‘華人要奪權，行動黨要建立基督囯’ 的大旗，鄉村馬來選民 無論過得多慘，錢包多空，都會菊花一緊，含淚投 囯陣，万試万靈而 東馬部落 的常見情況則是因爲大部份部落民都不識字，連划叉都不會，就讓酋長或村長一個人划完所有的選票。而 東馬部落 的酋長或村長，從獨立以來就是 囯陣 的人，跟 囯陣高層 交情很好，跟 反對黨高層 則很生疏，所以部落票基本被 囯陣 sapu 完"
justebelmont,20171221,"希盟应该把东马沙砂的公投宣言列入竞选宣言里面，如果希盟胜了，让东马公投自决前途，应该就可以搞定东马票了。"
JowY,20171221,"連接東海岸鐵路、東馬船運限制廢除、泛婆羅大道東海岸、東馬以前或許沒有經濟發展錢都砸在西海岸搞不切實際的東西如重工業 proton現在不同了東馬在東馬船運限制廢除（國際進出口方便）、泛婆羅大道建起后（内陸運輸網完善），加上豐富水電資源，發展潛能很大在西馬科技重鎮如巴生谷和檳城的房價越來越高的情況下，大馬科技公司和製造業可以考慮往東馬發展，尤其是吸引被房價壓殘又找不到老婆的科技宅男。東馬地廣，土著靚妹多，有優勢。可以招攬臺灣公司投資，也幫下臺灣的科技宅（臺灣也很多被房價壓殘又找不到老婆的科技宅，很多無奈去大陸拼，但又不是很喜歡大陸）。蔡英文的新南向政策説不定還有補助臺灣公司過來投資。臺灣和馬來西亞應該一起努力，而東馬或許是個機會。東海岸則靠中共的一帶一路。這個歷史契機可以讓東海岸發展起來。馬來西亞就是要中共、呆灣、美帝、小日本通吃 rf"
滄滄一笑,20171221,"西馬華肥不肯聽話東渡東馬，整個馬來西亞都是自以為是的一群人。我覺得自殘是最好的方案，先砍沒有馬來西亞國籍的中國人，喊它們回國，踢它們回中國。不回中國就砍死它們，網絡歡慶砍死這類中國人的新聞。"
justebelmont,20171221,"沙巴改朝換代过很多次了，只要沙巴团结党退岀國陣，国阵很多天主票会流失的。"
q(o_o)p,20171221,"表醬，這是 西馬人 不分黨派對 東馬人 的心聲："
justebelmont,20171221,"你所说的 case 只适用于 Sarawak 而已。"
q(o_o)p,20171221,"沙巴 改朝換代過幾次？ "
q(o_o)p,20171221,"東馬 不要獨立，西馬 愛你 也许下次　见面的时候　心中会有一丝茫然　恍若隔世　毕竟我们　从不曾分别那么久　月光正明亮　把我们分隔两方　每次相爱　我总不设防　无能为力　面对任何谣言和中伤　你去回想　过去我对你怎么样　让你去猜疑　是我最大的遗憾　冷冷夜色　总是教人彷徨　我不相信　那是因为太孤单　爱情世界　可以是很简单　我不相信　相爱下场　是如此荒涼　我爱你　不是爱给別人看　何必去管　别人怎么讲　別让世界　教你迷惘　我爱你　不是爱给别人看　何必去猜　別人怎么想　在你心中　留个地方　容许我坚持　向你证明　爱真的可以　地老天荒"
山村野夫,20171221,"承诺交还所有砂沙自主权，石油税增加至二十巴仙，各发一张赌场执照给砂沙两州政府，合法化砂沙两州的斗鸡场，誰能做到这些就支持谁。"
