name,scale,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
马华,1,2,16,25,10,29,27,24,8,10,16,23,14,15,10,8,22,15,8,10,4,6,6,13,3,8,3,6,7
马华,2,0,1,2,0,1,3,4,0,0,2,3,3,2,2,3,2,4,0,1,0,1,1,5,2,4,3,0,2
巫統,1,0,1,1,1,1,3,0,1,0,3,2,1,0,1,1,1,3,1,4,0,1,3,4,1,0,1,1,0
巫統,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
火贱,1,3,14,22,16,19,13,13,4,8,9,17,8,14,12,13,14,7,6,14,6,9,5,5,1,12,1,1,1
火贱,2,0,4,4,3,3,4,4,3,1,3,5,6,8,4,5,3,4,2,5,1,4,0,1,1,4,2,0,0
行动党,1,2,4,1,5,4,9,6,4,3,6,6,12,12,11,4,16,8,2,5,1,10,2,9,3,3,2,1,2
行动党,2,0,2,1,3,2,1,1,1,1,2,5,9,5,4,3,4,4,0,2,1,6,0,4,2,2,1,3,1
誠信黨,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
誠信黨,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
团结党,1,0,2,2,0,1,2,2,0,0,1,2,0,0,0,1,0,0,0,1,0,3,2,0,1,0,1,0,0
团结党,2,0,2,0,0,2,0,1,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0
蓝眼,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
蓝眼,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
民聯,1,0,2,3,1,1,0,1,0,2,1,0,2,2,1,0,3,0,2,1,0,1,1,0,0,0,0,1,1
民聯,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0
民政,1,0,2,1,1,2,1,1,0,0,2,0,3,3,1,0,3,2,4,1,1,1,2,2,0,0,0,1,0
民政,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0
希盟,1,0,3,2,0,4,3,1,1,0,4,13,2,4,0,0,0,0,1,4,1,3,1,0,0,3,7,1,1
希盟,2,0,2,2,0,3,1,1,0,1,1,5,1,2,1,0,0,1,1,1,2,2,1,1,0,0,4,1,2
